Name,Platform,Year_of_Release,Genre,Global_Sales,User_Score,User_Count
Pharaoh,PC,1998,Strategy,0.02,8.6,45
Vanguard Bandits,PS,1998,Strategy,0.07,7.4,15
Planescape: Torment,PC,1998,Role-Playing,0.03,9.2,813
Clock Tower II: The Struggle Within,PS,1998,Adventure,0.17,5.7,7
Crash Bandicoot 3: Warped,PS,1998,Platform,7.13,8.9,432
Star Ocean: The Second Story,PS,1998,Role-Playing,1.1,8.5,44
Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,0.62,8.2,29
Street Fighter Alpha 3,PS,1998,Fighting,1.03,8.5,46
Homeworld,PC,1998,Strategy,0.02,9.0,326
Grand Theft Auto 2,PS,1998,Action,3.42,8.0,67
Medal of Honor,PS,1998,Shooter,2.67,8.6,80
Resident Evil 2,PS,1998,Action,5.82,9.2,364
Silhouette Mirage,PS,1998,Platform,0.05,7.5,4
Parasite Eve,PS,1998,Role-Playing,2.1,8.9,89
Dead or Alive,PS,1998,Fighting,0.28,8.6,18
Lunar 2: Eternal Blue Complete,PS,1999,Role-Playing,0.35,8.9,37
Need For Speed: High Stakes,PS,1999,Racing,2.31,8.5,28
Final Fantasy Anthology,PS,1999,Role-Playing,0.8,8.1,28
Need for Speed: Porsche Unleashed,PS,1999,Racing,0.77,8.5,24
Silent Hill,PS,1999,Action,1.6,9.2,326
Crash Team Racing,PS,1999,Racing,4.79,9.0,233
Saiyuki: Journey West,PS,1999,Strategy,0.05,7.1,9
Age of Empires II: The Age of Kings,PC,1999,Strategy,0.09,9.0,801
SoulCalibur,DC,1999,Fighting,0.34,8.8,200
WipEout 3,PS,1999,Racing,0.34,8.5,15
Parasite Eve II,PS,1999,Role-Playing,0.58,9.0,77
Shenmue,DC,1999,Adventure,1.18,9.4,201
Valkyrie Profile,PS,1999,Role-Playing,0.81,8.8,37
Driver,PS,1999,Action,6.27,8.1,78
Ape Escape,PS,1999,Platform,1.63,8.8,53
Tony Hawk's Pro Skater,PS,1999,Sports,5.02,9.2,69
Grandia,PS,1999,Role-Playing,0.25,6.6,77
The Longest Journey,PC,1999,Adventure,0.02,8.9,439
Dungeon Keeper 2,PC,1999,Action,0.05,8.8,100
Bust A Groove 2,PS,1999,Misc,0.26,8.9,35
Frogger 2: Swampy's Revenge,PS,1999,Action,1.43,7.9,8
The Legend of Dragoon,PS,1999,Role-Playing,1.86,8.4,248
Gran Turismo 2,PS,1999,Racing,9.49,9.0,135
Seaman,DC,1999,Simulation,0.52,8.4,16
Chrono Cross,PS,1999,Role-Playing,1.86,8.1,297
Harvest Moon: Back to Nature,PS,1999,Simulation,0.32,9.3,78
Final Fantasy VIII,PS,1999,Role-Playing,7.86,8.6,644
Incredible Crisis,PS,1999,Action,0.08,7.5,11
Dragon Valor,PS,1999,Role-Playing,0.07,8.3,10
Digimon Digital Card Battle,PS,1999,Strategy,0.11,9.0,44
ECW Anarchy Rulz,PS,1999,Fighting,0.11,6.3,4
Age of Empires: Collector's Edition,PC,2000,Strategy,0.14,8.0,6
Point Blank 3,PS,2000,Shooter,0.02,8.4,5
Vagrant Story,PS,2000,Role-Playing,0.87,8.3,129
Tokyo Xtreme Racer Zero,PS2,2000,Racing,1.5,8.9,64
Madden NFL 2001,PS2,2000,Sports,1.5,7.7,7
Disney's The Lion King: Simba's Mighty Adventure,PS,2000,Action,0.15,6.9,9
Smuggler's Run,PS2,2000,Racing,1.56,6.8,18
Dance Dance Revolution Disney Mix,PS,2000,Simulation,0.04,8.3,13
Medal of Honor: Underground,PS,2000,Shooter,0.97,9.0,44
Orphen: Scion of Sorcery,PS2,2000,Role-Playing,0.31,5.8,8
TimeSplitters,PS2,2000,Shooter,0.43,8.0,40
Dynasty Warriors 2,PS2,2000,Action,0.83,8.8,24
NHL 2001,PS2,2000,Sports,0.96,8.1,9
Tony Hawk's Pro Skater 2,PS,2000,Sports,4.68,7.7,299
Summoner,PS2,2000,Role-Playing,0.51,7.8,12
Gadget Racers,PS2,2000,Racing,0.08,7.4,7
Driver 2,PS,2000,Action,4.73,7.7,92
Sky Odyssey,PS2,2000,Simulation,0.32,8.4,9
007 Racing,PS,2000,Racing,0.53,4.6,14
Street Fighter EX3,PS2,2000,Fighting,0.85,7.9,31
Airline Tycoon,PC,2000,Simulation,0.02,8.0,9
Eternal Ring,PS2,2000,Role-Playing,0.3,5.3,9
Ball Breakers,PS,2000,Action,0.18,5.3,4
MotoGP,PS2,2000,Racing,0.27,6.0,5
Skies of Arcadia,DC,2000,Role-Playing,0.09,9.4,98
Army Men: Air Attack 2,PS,2000,Action,0.3,5.3,4
Tales of Destiny II,PS,2000,Role-Playing,0.81,8.7,31
Capcom vs. SNK,DC,2000,Fighting,0.22,9.0,24
Kengo: Master of Bushido,PS2,2000,Fighting,0.39,8.4,8
Disney's Donald Duck: Goin' Quackers,PS,2000,Platform,0.15,7.0,10
The King of Fighters '99,PS,2000,Fighting,0.11,8.9,39
NASCAR 2001,PS,2000,Racing,0.81,6.1,9
Strider 2,PS,2000,Platform,0.08,8.1,11
Rayman 2: Revolution,PS2,2000,Platform,0.3,8.2,42
Grandia II,DC,2000,Role-Playing,0.2,8.8,57
NBA Live 2001,PS,2000,Sports,1.25,8.0,6
Kessen,PS2,2000,Strategy,0.95,8.4,12
Midnight Club: Street Racing,PS2,2000,Racing,2.63,7.8,21
The Typing of the Dead,DC,2000,Shooter,0.05,7.8,12
Unreal Tournament,PS2,2000,Shooter,0.58,6.8,13
Ridge Racer V,PS2,2000,Action,1.24,7.7,6
NFL Fever 2002,XB,2000,Sports,0.99,8.5,10
Dark Cloud,PS2,2000,Role-Playing,1.54,8.2,99
Surfing H3O,PS2,2000,Sports,0.25,4.6,8
Digimon World 2,PS,2000,Role-Playing,0.58,7.6,47
World Destruction League: Thunder Tanks,PS,2000,Action,0.17,1.2,6
Sega GT,DC,2000,Racing,0.13,7.7,11
Ring of Red,PS2,2000,Strategy,0.11,8.7,11
The Bouncer,PS2,2000,Action,0.99,8.0,35
Phantasy Star Online,DC,2000,Role-Playing,0.2,9.1,33
Tekken Tag Tournament,PS2,2000,Fighting,4.05,8.5,117
Colin McRae Rally 2.0,PS,2000,Racing,0.91,8.7,31
Ultimate Fighting Championship,PS,2000,Fighting,0.25,7.4,16
Batman Beyond: Return of the Joker,PS,2000,Action,0.17,4.3,7
SSX,PS2,2000,Sports,1.66,8.3,33
Resident Evil: Survivor,PS,2000,Action,0.71,7.0,47
Madden NFL 2001,PS,2000,Sports,1.67,6.8,4
Deus Ex,PC,2000,Role-Playing,0.01,9.3,1069
EverGrace,PS2,2000,Role-Playing,0.35,7.8,4
Destruction Derby Raw,PS,2000,Racing,0.14,7.3,14
NFL 2K1,DC,2000,Sports,1.09,6.0,47
NASCAR 2001,PS2,2000,Racing,0.7,6.6,9
Star Wars: Demolition,PS,2000,Racing,0.46,6.5,6
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,0.58,8.7,32
Chicken Run,PS,2000,Adventure,0.13,6.2,6
Alien Resurrection,PS,2000,Shooter,0.16,7.5,15
Evil Dead: Hail to the King,PS,2000,Adventure,0.27,6.0,7
Disney's Aladdin in Nasira's Revenge,PS,2000,Action,0.09,8.3,7
Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,0.7,8.1,49
Silpheed: The Lost Planet,PS2,2000,Shooter,0.07,7.5,4
Knockout Kings 2001,PS,2000,Fighting,0.41,8.5,6
Ephemeral Fantasia,PS2,2000,Role-Playing,0.08,6.3,39
Persona 2: Eternal Punishment,PS,2000,Role-Playing,0.35,8.4,25
Breath of Fire IV,PS,2000,Role-Playing,0.56,8.9,45
ESPN Winter X Games: Snowboarding 2002,PS2,2000,Sports,0.21,7.9,8
Theme Park Roller Coaster,PS2,2000,Strategy,0.48,7.9,17
The Sims,PC,2000,Simulation,0.05,7.9,451
Galaga: Destination Earth,PS,2000,Shooter,0.24,8.0,10
Spider-Man,PS,2000,Action,3.13,9.0,107
Fantavision,PS2,2000,Puzzle,0.47,6.3,9
Victorious Boxers: Ippo's Road to Glory,PS2,2000,Fighting,0.47,8.0,10
Rollcage Stage II,PS,2000,Racing,0.09,8.9,16
Mortal Kombat: Special Forces,PS,2000,Fighting,0.21,2.4,17
Crash Bash,PS,2000,Misc,3.39,8.2,99
Mega Man Legends 2,PS,2000,Adventure,0.42,8.8,29
Armored Core 2,PS2,2000,Simulation,0.79,8.4,19
Dino Crisis 2,PS,2000,Action,1.21,9.0,91
NHL 2001,PS,2000,Sports,0.63,7.7,7
Final Fantasy IX,PS,2000,Role-Playing,5.3,8.9,779
WinBack: Covert Operations,PS2,2000,Shooter,0.29,7.7,20
Mega Man X5,PS,2000,Platform,0.75,8.9,55
Spyro: Year of the Dragon,PS,2000,Platform,3.71,8.8,207
Disney's The Emperor's New Groove,PS,2000,Platform,0.31,7.2,6
Hogs of War,PS,2000,Strategy,0.02,8.8,31
FIFA 2001 Major League Soccer,PS,2000,Sports,0.32,7.8,5
Army Men: Sarge's Heroes 2,PS,2000,Shooter,0.24,7.3,7
Romance of the Three Kingdoms VII,PS2,2000,Strategy,0.32,8.7,11
Duke Nukem: Land of the Babes,PS,2000,Shooter,0.08,6.8,20
007: The World is not Enough,PS,2000,Action,0.92,6.7,44
Disney's Donald Duck: Goin' Quackers,PS2,2000,Platform,0.08,7.3,7
World Destruction League: Thunder Tanks,PS2,2000,Action,0.17,5.9,7
HBO Boxing,PS,2000,Fighting,0.21,4.0,5
RC Revenge Pro,PS2,2000,Racing,0.17,7.6,7
Dave Mirra Freestyle BMX,PS,2000,Sports,1.05,8.4,5
Diablo II,PC,2000,Role-Playing,0.13,8.8,1056
The Sims: Livin Large,PC,2000,Misc,2.99,6.6,20
Buzz Lightyear of Star Command,PS,2000,Platform,0.63,5.3,4
Harry Potter and the Sorcerer's Stone,PC,2001,Action,0.06,7.8,76
Army Men: Green Rogue,PS2,2001,Action,0.13,3.8,4
All-Star Baseball 2002,PS2,2001,Sports,0.56,7.6,8
"Monsters, Inc. Scream Team",PS,2001,Platform,0.56,6.9,8
Rumble Racing,PS2,2001,Racing,0.21,8.2,9
Arctic Thunder,PS2,2001,Racing,0.36,5.3,10
The Powerpuff Girls: Chemical X-Traction,PS,2001,Action,0.25,6.3,4
Ford Racing,PS,2001,Racing,0.86,5.8,4
Armored Core 2: Another Age,PS2,2001,Simulation,0.41,8.8,30
Pac-Man Collection,GBA,2001,Puzzle,2.94,7.8,4
Sonic Adventure 2 Battle,GC,2001,Platform,2.56,8.3,179
Devil May Cry,PS2,2001,Action,2.99,8.5,466
Dave Mirra Freestyle BMX 2,PS2,2001,Sports,1.38,8.1,18
NHL Hitz 20-02,PS2,2001,Sports,0.56,7.6,8
Max Payne,PC,2001,Shooter,0.02,9.1,1016
Spec Ops: Ranger Elite,PS,2001,Shooter,0.87,6.6,16
Super Street Fighter II: Turbo Revival,GBA,2001,Fighting,0.25,7.4,10
Quake III: Revolution,PS2,2001,Shooter,0.21,7.2,11
Twisted Metal: Black,PS2,2001,Racing,1.41,8.4,98
Stronghold,PC,2001,Strategy,0.11,8.9,224
Zone of the Enders: The Fist of Mars,GBA,2001,Role-Playing,0.06,9.0,9
NFL 2K2,PS2,2001,Sports,0.89,7.5,6
Blood Wake,XB,2001,Shooter,0.57,7.5,13
NBA Street,PS2,2001,Sports,2.79,8.6,39
Dragon Rage,PS2,2001,Shooter,0.06,6.4,9
18 Wheeler: American Pro Trucker,PS2,2001,Racing,0.4,5.7,18
Formula One 2001,PS2,2001,Racing,0.26,6.0,5
Madden NFL 2002,PS,2001,Sports,1.39,8.0,7
Castlevania: Circle of the Moon,GBA,2001,Platform,0.89,8.5,59
Shadow of Destiny,PS2,2001,Adventure,0.21,8.2,19
NBA Live 2002,XB,2001,Sports,0.4,7.5,6
Disney's Atlantis: The Lost Empire,PS,2001,Platform,0.17,8.5,6
Hot Shots Golf 3,PS2,2001,Sports,2.89,8.9,16
MetropolisMania,PS2,2001,Strategy,0.09,7.1,16
Disney's Tarzan Untamed,PS2,2001,Platform,0.41,7.1,7
MDK2 Armageddon,PS2,2001,Shooter,0.17,8.3,11
NFL GameDay 2002,PS,2001,Sports,0.4,8.8,4
Onimusha: Warlords,PS2,2001,Action,2.7,8.2,56
Portal Runner,PS2,2001,Platform,0.13,6.7,6
Crazy Taxi,PS2,2001,Racing,2.52,7.9,46
SSX Tricky,PS2,2001,Sports,1.73,8.9,71
4x4 EVO 2,XB,2001,Racing,0.24,6.2,5
Scooby Doo and the Cyber Chase,PS,2001,Adventure,1.94,7.4,10
Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,0.73,8.7,13
Airblade,PS2,2001,Sports,0.23,5.8,12
Oddworld: Munch's Oddysee,XB,2001,Platform,0.73,8.7,32
Crazy Taxi 2,DC,2001,Racing,0.07,8.1,29
Star Wars: Super Bombad Racing,PS2,2001,Racing,0.16,4.9,8
Guilty Gear X,PS2,2001,Fighting,0.12,7.8,16
Darkstone,PS,2001,Role-Playing,0.66,8.3,12
Harry Potter and the Sorcerer's Stone,GBA,2001,Action,1.69,7.1,7
Tony Hawk's Pro Skater 3,PS,2001,Sports,1.67,8.3,36
Spy Hunter,PS2,2001,Racing,1.67,7.8,13
Burnout,PS2,2001,Racing,0.74,7.7,33
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,0.75,7.9,27
Zone of the Enders,PS2,2001,Shooter,0.75,7.4,49
Azurik: Rise of Perathia,XB,2001,Action,0.24,8.5,14
Sonic Adventure 2,DC,2001,Platform,0.12,8.6,236
Red Faction,PS2,2001,Shooter,1.92,8.0,69
X-Men: Mutant Academy 2,PS,2001,Fighting,0.72,8.4,18
Bloody Roar 3,PS2,2001,Fighting,0.35,8.6,34
The Sims: Hot Date,PC,2001,Simulation,1.82,7.9,70
Namco Museum,PS2,2001,Misc,1.82,6.0,5
Shrek,XB,2001,Platform,0.36,5.4,9
Star Wars: Obi-Wan,XB,2001,Action,0.7,5.9,14
Cossacks: European Wars,PC,2001,Strategy,0.03,8.6,60
SplashDown,PS2,2001,Racing,0.7,8.2,11
Looney Tunes: Sheep Raider,PS,2001,Platform,0.12,8.8,25
Advance Wars,GBA,2001,Strategy,0.7,9.0,95
The Simpsons: Road Rage,GC,2001,Racing,0.24,7.7,12
NBA Live 2002,PS2,2001,Sports,1.86,7.4,8
Dead or Alive 3,XB,2001,Fighting,1.77,8.6,44
World's Scariest Police Chases,PS,2001,Racing,0.36,6.3,4
Golden Sun,GBA,2001,Role-Playing,1.76,9.3,198
Okage: Shadow King,PS2,2001,Role-Playing,0.36,8.5,14
Jeremy McGrath Supercross World,PS2,2001,Racing,0.23,3.4,16
Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,1.9,8.6,80
Star Wars: Starfighter,PS2,2001,Simulation,1.76,8.0,21
Monster Rancher 3,PS2,2001,Simulation,0.36,8.5,23
Dynasty Warriors 3,PS2,2001,Action,1.87,9.1,90
Super Monkey Ball,GC,2001,Puzzle,1.46,7.9,46
Sunny Garcia Surfing,PS2,2001,Sports,0.03,7.9,7
Pikmin,GC,2001,Strategy,1.63,8.7,121
Jurassic Park III: Park Builder,GBA,2001,Simulation,0.06,8.0,5
XGIII: Extreme G Racing,GC,2001,Racing,0.15,7.8,14
Giants: Citizen Kabuto,PS2,2001,Shooter,0.06,6.9,8
All-Star Baseball 2002,GC,2001,Sports,0.22,5.6,9
Resident Evil - Code: Veronica X,PS2,2001,Action,2.34,8.4,189
NFL Quarterback Club 2002,PS2,2001,Sports,0.22,7.8,6
Hidden Invasion,PS2,2001,Shooter,0.08,5.8,4
Spider-Man: Mysterio's Menace,GBA,2001,Action,0.61,8.7,11
Amped: Freestyle Snowboarding,XB,2001,Sports,0.82,9.0,20
ATV Offroad Fury,PS2,2001,Racing,2.41,8.4,53
Wave Race: Blue Storm,GC,2001,Racing,0.6,8.3,29
Tony Hawk's Pro Skater 3,GC,2001,Sports,0.82,9.0,27
Gallop Racer 2001,PS2,2001,Sports,0.17,9.1,56
The Legend of Alon D'ar,PS2,2001,Role-Playing,0.08,6.7,10
Rayman Arena,PS2,2001,Racing,0.6,8.6,8
Half-Life,PS2,2001,Shooter,0.6,8.6,94
Kinetica,PS2,2001,Racing,0.32,8.3,21
Wario Land 4,GBA,2001,Platform,2.26,8.9,42
Spider-Man 2: Enter: Electro,PS,2001,Action,1.55,8.7,35
Sonic Advance,GBA,2001,Platform,2.24,8.1,48
Paris-Dakar Rally,PS2,2001,Racing,0.15,3.9,15
GT Advance 2: Rally Racing,GBA,2001,Racing,0.11,6.0,4
Tony Hawk's Pro Skater 2x,XB,2001,Sports,0.63,8.8,5
Maximo: Ghosts to Glory,PS2,2001,Platform,0.77,8.7,16
Kabuki Warriors,XB,2001,Action,0.06,2.5,12
Project Gotham Racing,XB,2001,Racing,2.12,8.2,28
MXRider,PS2,2001,Racing,0.34,6.8,6
FIFA Soccer 2002,PS2,2001,Sports,0.63,5.8,28
The Sims: House Party,PC,2001,Simulation,2.16,7.9,30
Thunderstrike: Operation Phoenix,PS2,2001,Simulation,0.34,8.1,7
City Crisis,PS2,2001,Simulation,0.13,6.2,5
Breath of Fire,GBA,2001,Role-Playing,0.22,8.8,9
Driven,PS2,2001,Racing,0.15,3.4,5
NCAA Football 2002,PS2,2001,Sports,1.57,8.7,24
NFL GameDay 2002,PS2,2001,Sports,0.38,4.6,5
MTV Music Generator 2,PS2,2001,Misc,0.15,8.5,11
Motocross Mania,PS,2001,Racing,0.79,5.3,6
Klonoa 2: Lunatea's Veil,PS2,2001,Platform,0.33,9.1,72
Spyro: Season of Ice,GBA,2001,Platform,2.23,8.0,13
F1 2001,XB,2001,Racing,0.06,5.5,8
FIFA Soccer 2002,PS,2001,Sports,0.15,6.4,5
ESPN X Games Skateboarding,PS2,2001,Sports,0.36,7.8,14
NHL Hitz 20-02,GC,2001,Sports,0.21,8.7,7
Frogger: The Great Quest,PS2,2001,Platform,1.23,4.6,29
Pac-Man Fever,PS2,2001,Misc,0.51,6.3,7
Stretch Panic,PS2,2001,Platform,0.05,7.8,4
NHL 2002,XB,2001,Sports,0.27,8.8,5
Woody Woodpecker: Escape from Buzz Buzzard Park,PS2,2001,Platform,0.05,7.4,5
Escape From Monkey Island,PS2,2001,Adventure,0.1,8.2,11
Max Payne,XB,2001,Shooter,1.22,8.3,61
MLB 2002,PS,2001,Sports,0.43,8.1,8
Fuzion Frenzy,XB,2001,Misc,1.21,6.9,16
Metal Slug X,PS,2001,Shooter,0.09,8.8,31
Stunt GP,PS2,2001,Racing,0.05,8.1,9
Test Drive Off-Road Wide Open,XB,2001,Racing,0.18,8.3,9
NHL FaceOff 2001,PS2,2001,Sports,0.2,4.0,4
SSX Tricky,XB,2001,Sports,0.43,8.5,11
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,5.42,7.1,156
Mario Kart: Super Circuit,GBA,2001,Racing,5.47,8.3,108
The Mummy Returns,PS2,2001,Action,0.5,7.0,11
Super Mario Advance,GBA,2001,Platform,5.49,7.8,41
F-Zero: Maximum Velocity,GBA,2001,Racing,1.04,8.5,22
NHL 2002,PS2,2001,Sports,1.2,8.5,26
Mad Dash Racing,XB,2001,Racing,0.15,7.7,6
Dave Mirra Freestyle BMX 2,XB,2001,Sports,0.2,8.2,6
NBA Live 2002,PS,2001,Sports,0.52,8.8,9
Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,1.24,8.3,90
Dark Angel: Vampire Apocalypse,PS2,2001,Role-Playing,0.09,5.6,5
Silent Hill 2,PS2,2001,Action,1.28,8.9,557
Le Mans 24 Hours,PS2,2001,Racing,0.2,7.6,9
Shenmue II,DC,2001,Adventure,0.15,9.4,201
Vampire Night,PS2,2001,Shooter,0.14,8.0,5
NASCAR Thunder 2002,PS,2001,Racing,0.42,6.9,10
World Tour Soccer 2002,PS2,2001,Sports,0.14,7.5,10
Oni,PS2,2001,Action,0.53,7.8,22
Worms World Party,PC,2001,Strategy,0.02,7.6,68
Disney's Tarzan Untamed,GC,2001,Platform,0.18,7.4,8
Yanya Caballista: City Skater,PS2,2001,Sports,0.05,6.3,7
WarJetz,PS2,2001,Shooter,0.04,5.5,4
FIFA Soccer 2002,GC,2001,Sports,0.18,8.0,9
Mega Man Battle Network,GBA,2001,Role-Playing,0.42,8.9,24
Project Eden,PS2,2001,Action,0.09,7.8,8
Toy Story Racer,PS,2001,Racing,0.15,8.7,9
Final Fantasy Chronicles,PS,2001,Role-Playing,0.52,9.1,37
Syphon Filter 3,PS,2001,Shooter,0.52,8.5,36
Namco Museum,GBA,2001,Misc,4.24,7.3,6
Mobile Suit Gundam: Zeonic Front,PS2,2001,Simulation,0.43,8.8,23
Tony Hawk's Pro Skater 3,PS2,2001,Sports,4.41,7.5,298
Breath of Fire II,GBA,2001,Role-Playing,0.19,8.8,16
Tactics Ogre: The Knight of Lodis,GBA,2001,Role-Playing,0.5,9.1,26
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,6.05,8.7,1026
IL-2 Sturmovik,PC,2001,Simulation,0.01,8.8,130
Bass Strike,PS2,2001,Sports,0.28,5.8,4
Hoshigami: Ruining Blue Earth,PS,2001,Role-Playing,0.05,8.7,26
Earthworm Jim,GBA,2001,Platform,0.29,5.7,6
Time Crisis: Project Titan,PS,2001,Shooter,0.05,6.7,6
Midnight Club: Street Racing,GBA,2001,Racing,0.48,5.3,6
Silent Hill 2: Restless Dreams,XB,2001,Action,0.28,8.3,39
Jonny Moseley Mad Trix,PS2,2001,Sports,0.14,5.7,6
ICO,PS2,2001,Action,0.47,8.8,328
Grand Theft Auto III,PS2,2001,Action,13.1,8.5,664
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,1.14,8.8,32
Gitaroo Man,PS2,2001,Misc,0.05,8.7,25
Gran Turismo 3: A-Spec,PS2,2001,Racing,14.98,8.4,314
Shadow Hearts,PS2,2001,Role-Playing,0.28,8.8,55
King's Field: The Ancient City,PS2,2001,Role-Playing,0.1,8.5,13
Kessen II,PS2,2001,Strategy,0.46,8.3,22
E.T. The Extra-Terrestrial,GBA,2001,Action,0.01,2.4,21
Microsoft Train Simulator,PC,2001,Simulation,0.05,8.4,21
Supercar Street Challenge,PS2,2001,Racing,1.12,7.6,9
Universal Studios Theme Parks Adventure,GC,2001,Misc,0.1,2.9,11
PaRappa The Rapper 2,PS2,2001,Misc,0.14,6.6,26
Doom,GBA,2001,Shooter,0.14,8.5,15
Phantasy Star Online Ver. 2,DC,2001,Role-Playing,0.19,8.9,18
Harry Potter and the Sorcerer's Stone,PS,2001,Action,3.73,7.5,41
Jade Cocoon 2,PS2,2001,Role-Playing,0.1,7.8,22
Tekken Advance,GBA,2001,Fighting,0.45,8.2,13
Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,0.27,8.1,7
The Simpsons: Road Rage,XB,2001,Racing,1.05,8.3,6
Fear Effect 2: Retro Helix,PS,2001,Action,0.18,8.9,17
NHL Hitz 20-02,XB,2001,Sports,0.27,8.7,11
AirForce Delta Storm,XB,2001,Shooter,0.18,7.1,7
Halo: Combat Evolved,XB,2001,Shooter,6.43,8.6,1283
Rayman Advance,GBA,2001,Platform,0.5,8.4,16
Tony Hawk's Pro Skater 2,GBA,2001,Sports,1.18,7.5,22
Diablo II: Lord of Destruction,PC,2001,Role-Playing,1.06,9.1,639
Empire Earth,PC,2001,Strategy,0.05,8.2,126
Fatal Frame,PS2,2001,Action,0.14,8.9,72
Forever Kingdom,PS2,2001,Role-Playing,0.09,7.8,6
Super Smash Bros. Melee,GC,2001,Fighting,7.07,9.1,568
Dave Mirra Freestyle BMX 2,GC,2001,Sports,0.28,7.7,10
Crazy Taxi,GC,2001,Racing,0.49,7.5,21
NASCAR Thunder 2002,PS2,2001,Racing,1.16,8.5,22
Final Fantasy X,PS2,2001,Role-Playing,8.05,8.7,1056
Mister Mosquito,PS2,2001,Shooter,0.28,4.9,11
Frequency,PS2,2001,Misc,0.19,9.0,29
Casper: Spirit Dimensions,PS2,2001,Platform,0.14,3.5,6
Gauntlet: Dark Legacy,PS2,2001,Action,1.15,8.3,30
Fur Fighters: Viggo's Revenge,PS2,2001,Action,0.14,7.3,37
Time Crisis II,PS2,2001,Shooter,0.53,7.9,20
Cel Damage,XB,2001,Racing,0.12,8.4,7
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,3.17,9.1,95
Rune: Viking Warlord,PS2,2001,Action,0.26,7.3,11
Final Fight One,GBA,2001,Fighting,0.21,7.8,8
Digimon Rumble Arena,PS,2001,Fighting,0.02,8.8,71
Top Gun: Combat Zones,PS2,2001,Simulation,0.92,3.3,9
SSX Tricky,GC,2001,Sports,0.54,8.6,18
The Simpsons: Road Rage,PS2,2001,Racing,3.61,7.7,32
Luigi's Mansion,GC,2001,Action,3.6,8.5,161
Warriors of Might and Magic,PS2,2001,Adventure,0.17,4.5,6
Wizardry: Tale of the Forsaken Land,PS2,2001,Role-Playing,0.09,7.5,6
